Protein A;Gene A;Protein B;Gene B;Score;PMID
Q15648;MED1;O60885;BRD4;0.376;20098423 19766566 
Q15648;MED1;P62487;POLR2G;0.236;26496610 
O95274;LYPD3;O15297;PPM1D;0.286;25640309 
P52292;KPNA2;O15297;PPM1D;0.236;28330616 27880917 
Q00987;MDM2;O15297;PPM1D;0.623;17936559 
Q14974;KPNB1;O15297;PPM1D;0.236;28330616 27880917 
Q96J88;EPSTI1;O15297;PPM1D;0.286;25640309 
Q9UBP4;DKK3;O15297;PPM1D;0.286;25640309 
Q15648;MED1;O75478;TADA2A;0.236;20508642 
Q15648;MED1;Q00987;MDM2;0.61;15848166 
Q7Z6E9;RBBP6;Q00987;MDM2;0.454;24124579 17470788 
Q96PG8;BBC3;O14561;NDUFAB1;0.236;unassigned1304 
Q7Z6E9;RBBP6;P67809;YBX1;0.858;18851979 
Q15648;MED1;O95377;GJB5;0.286;21988832 
Q7Z6E9;RBBP6;O95405;ZFYVE9;0.332;15231748 
Q15648;MED1;O95988;TCL1B;0.236;26186194 28514442 
Q7Z6E9;RBBP6;P78362;SRPK2;0.236;23602568 
Q96PG8;BBC3;Q7Z4V0;ZNF438;0.236;unassigned1304 
Q7Z6E9;RBBP6;Q16637;SMN2;0.332;18624398 
Q7Z6E9;RBBP6;P04637;TP53;0.454;9010216 
Q7Z6E9;RBBP6;P02749;APOH;0.332;18624398 
Q7Z6E9;RBBP6;O75525;KHDRBS3;0.332;18624398 
Q7Z6E9;RBBP6;P00747;PLG;0.332;18624398 
Q7Z6E9;RBBP6;Q16629;SRSF7;0.531;18624398 
Q7Z6E9;RBBP6;P13693;TPT1;0.332;18624398 
Q7Z6E9;RBBP6;P06400;RB1;0.454;9010216 
Q7Z6E9;RBBP6;P07306;ASGR1;0.332;18624398 
Q7Z6E9;RBBP6;P15104;GLUL;0.332;18624398 
Q7Z6E9;RBBP6;P34932;HSPA4;0.454;22130672 
Q9UI95;MAD2L2;Q7Z6E9;RBBP6;0.332;18624398 
Q96I51;WBSCR16;Q7Z6E9;RBBP6;0.332;18624398 
Q9NPJ3;ACOT13;Q7Z6E9;RBBP6;0.332;18624398 
Q9Y3I1;FBXO7;Q7Z6E9;RBBP6;0.332;18624398 
Q9Y6M9;NDUFB9;Q7Z6E9;RBBP6;0.332;18624398 
Q96PG8;BBC3;Q86VE0;MYPOP;0.236;unassigned1304 
Q15648;MED1;P53350;PLK1;0.236;27173435 unassigned1312 
Q9UGP5;POLL;Q15648;MED1;0.236;26186194 28514442 
Q15648;MED1;P11473;VDR;0.925;17786964 15919092 10733574 10235266 16434701 10198638 12796488 
Q15648;MED1;A0JLT2;MED19;0.74;14576168 14638676 28514442 15175163 15989967 20133760 26186194 21729782 
Q15648;MED1;P04637;TP53;0.748;15848166 9444950 11118038 
Q15648;MED1;P03372;ESR1;0.971;11867769 10760302 10770935 15886699 12738788 
Q15648;MED1;O95402;MED26;0.636;15175163 21729782 20098423 28514442 
Q15648;MED1;P55055;NR1H2;0.436;26120082 15604093 
Q71F56;MED13L;Q15648;MED1;0.309;23322298 28514442 
Q92731;ESR2;Q15648;MED1;0.858;21182203 10770935 11500849 11867769 
Q9H204;MED28;Q15648;MED1;0.454;15989967 20133760 28514442 
Q9BTT4;MED10;Q15648;MED1;0.765;14576168 14638676 28514442 15175163 15989967 24882805 10882111 
Q9BWU1;CDK19;Q15648;MED1;0.59;23602568 28514442 15175163 20133760 22939629 26186194 
Q9BUE0;MED18;Q15648;MED1;0.561;15989967 20133760 22939629 28514442 
Q9P086;MED11;Q15648;MED1;0.236;15989967 28514442 
Q9NX70;MED29;Q15648;MED1;0.583;14638676 28514442 15175163 15989967 20133760 
Q9Y3C7;MED31;Q15648;MED1;0.236;15989967 28514442 
Q96PG8;BBC3;P61964;WDR5;0.236;unassigned1304 
Q96PG8;BBC3;Q07820;MCL1;0.858;21613222 16697956 15721256 28514442 28202514 15694340 21730980 26186194 
Q96PG8;BBC3;Q07817;BCL2L1;0.731;16697956 19074266 15721256 28202514 15694340 
Q96HR3;MED30;Q15648;MED1;0.539;15989967 20133760 18691967 28514442 
Q15648;MED1;Q14994;NR1I3;0.236;26186194 28514442 
Q7Z6E9;RBBP6;Q13595;TRA2A;0.236;26186194 28514442 
Q15648;MED1;Q15006;EMC2;0.236;26496610 
Q6IN85;SMEK1;Q15648;MED1;0.236;26496610 
Q96PG8;BBC3;Q5TD97;FHL5;0.236;unassigned1304 
Q15648;MED1;O43513;MED7;0.554;15989967 24882805 26186194 28514442 
Q96G25;MED8;Q15648;MED1;0.332;15989967 20133760 28514442 
Q9NWA0;MED9;Q15648;MED1;0.597;24882805 20098423 14638676 28514442 15175163 
Q71SY5;MED25;Q15648;MED1;0.712;14657022 20098423 17641689 28514442 15989967 20133760 
Q9HC98;NEK6;Q7Z6E9;RBBP6;0.671;20873783 
Q15648;MED1;P36956;SREBF1;0.523;16799563 10235267 
Q15648;MED1;P41235;HNF4A;0.623;12101254 12089346 
Q7Z6E9;RBBP6;P49760;CLK2;0.332;23602568 28514442 
Q7Z6E9;RBBP6;P49761;CLK3;0.332;23602568 28514442 
P16104;H2AFX;O15297;PPM1D;0.843;20118229 20101220 20460517 
Q99459;CDC5L;O15297;PPM1D;0.416;20467437 11101529 
Q15648;MED1;P37231;PPARG;0.989;15604093 11877444 10037764 17468099 17011503 10935544 11027271 17704298 11500849 19596656 15026545 
Q15648;MED1;O75586;MED6;0.354;15989967 20133760 22939629 26344197 
Q6P2C8;MED27;Q15648;MED1;0.386;15989967 20133760 22939629 28514442 
Q15648;MED1;Q15528;MED22;0.472;15989967 20133760 20098423 28514442 
Q15648;MED1;P49336;CDK8;0.985;23602568 29568061 26186194 23322298 20098423 10882111 26496610 11867769 10024883 18418385 28514442 15989967 10198638 
Q15648;MED1;Q15648;MED1;0.659;15989967 20133760 23322298 9444950 
Q9ULK4;MED23;Q15648;MED1;0.583;15989967 20133760 20098423 28514442 
Q93074;MED12;Q15648;MED1;0.826;23563140 26496610 28514442 15989967 20133760 23322298 20098423 
Q15648;MED1;P10276;RARA;0.891;10760302 21478865 17641689 25303530 
Q9UBG0;MRC2;O15297;PPM1D;0.286;25640309 
Q9P2P5;HECW2;Q7Z6E9;RBBP6;0.126;24163370 
Q9UHV7;MED13;Q15648;MED1;0.74;23563140 20098423 28514442 15989967 20133760 23322298 
Q9UJM3;ERRFI1;O15297;PPM1D;0.286;25640309 
Q9UJX0;OSGIN1;O15297;PPM1D;0.286;25640309 
Q9NPJ6;MED4;Q15648;MED1;0.569;28514442 15989967 20133760 22939629 25281560 24882805 26344197 
Q9H944;MED20;Q15648;MED1;0.416;15989967 20133760 25281560 28514442 
Q9NQ29;LUC7L;Q7Z6E9;RBBP6;0.126;26186194 
Q9UNE7;STUB1;Q1MSW8;TP53;0.126;25036637 
Q9NVC6;MED17;Q15648;MED1;0.671;17967894 20098423 28514442 15989967 20133760 
Q9NX02;NLRP2;Q7Z6E9;RBBP6;0.126;26496610 
Q9Y5B0;CTDP1;Q15648;MED1;0.183;16239144 
Q9Y5Y2;NUBP2;Q7Z6E9;RBBP6;0.081;22939629 
Q7Z6E9;RBBP6;P05412;JUN;0.126;25609649 
O60216;RAD21;O15297;PPM1D;0.236;22145905 
P49792;RANBP2;O15297;PPM1D;0.126;27880917 
O43707;ACTN4;O15297;PPM1D;0.126;28330616 
O15297;PPM1D;O00505;KPNA3;0.126;27880917 
O60271;SPAG9;O15297;PPM1D;0.126;27880917 
P49790;NUP153;O15297;PPM1D;0.126;27880917 
O95661;DIRAS3;O15297;PPM1D;0.286;25640309 
O94923;GLCE;O15297;PPM1D;0.286;25640309 
O60684;KPNA6;O15297;PPM1D;0.126;28330616 
P06744;GPI;O15297;PPM1D;0.126;28330616 
P04350;TUBB4A;O15297;PPM1D;0.126;28330616 
P35998;PSMC2;O15297;PPM1D;0.126;28330616 
P11245;NAT2;O15297;PPM1D;0.286;25640309 
P31946;YWHAB;O15297;PPM1D;0.126;28330616 
Q13283;G3BP1;O15297;PPM1D;0.126;28330616 
P60510;PPP4C;O15297;PPM1D;0.21;18614045 
P55036;PSMD4;O15297;PPM1D;0.126;27880917 
Q13200;PSMD2;O15297;PPM1D;0.126;28330616 
P62195;PSMC5;O15297;PPM1D;0.126;28330616 
P67936;TPM4;O15297;PPM1D;0.126;28330616 
Q99497;PARK7;O15297;PPM1D;0.126;28330616 
Q15008;PSMD6;O15297;PPM1D;0.126;28330616 
Q13885;TUBB2A;O15297;PPM1D;0.126;28330616 
Q14152;EIF3A;O15297;PPM1D;0.126;28330616 
Q86V15;CASZ1;O15297;PPM1D;0.286;25640309 
Q86UX2;ITIH5;O15297;PPM1D;0.286;25640309 
Q15185;PTGES3;O15297;PPM1D;0.126;28330616 
Q9BXY8;BEX2;O15297;PPM1D;0.286;25640309 
Q9BSD7;NTPCR;O15297;PPM1D;0.126;28330616 
Q9BQE3;TUBA1C;O15297;PPM1D;0.126;28330616 
Q9BUF5;TUBB6;O15297;PPM1D;0.126;28330616 
Q9NYL9;TMOD3;O15297;PPM1D;0.126;28330616 
Q9BYZ6;RHOBTB2;O15297;PPM1D;0.286;25640309 
Q9BZ95;WHSC1L1;O15297;PPM1D;0.286;25640309 
